"country","gdp","renewable_share","year","global_average","positioning","latitude","longitude"
"United Kingdom","2827113184696","12.24",2019,"32.18","Below Average","55.378051","-3.435973"
"Tunisia","38797709924","12.2",2019,"32.18","Below Average","33.886917","9.537499"
"Poland","592164400688","12.18",2019,"32.18","Below Average","51.919438","19.145136"
"Cyprus","24564647935","12.05",2019,"32.18","Below Average","35.126413","33.429859"
"Guyana","4280443645","11.35",2019,"32.18","Below Average","4.860416","-58.93018"
"Argentina","449663446954","10.74",2019,"32.18","Below Average","-38.416097","-63.616672"
"Morocco","118725279596","10.69",2019,"32.18","Below Average","31.791702","-7.09262"
"South Africa","351431649241","10.5",2019,"32.18","Below Average","-30.559482","22.937506"
"United States","21427700000000","10.42",2019,"32.18","Below Average","37.09024","-95.712891"
"Grenada","1228170370","10.37",2019,"32.18","Below Average","12.1165","-61.679"
"Armenia","13672802158","10.34",2019,"32.18","Below Average","40.069099","45.038189"
"Mexico","1258286717125","10.34",2019,"32.18","Below Average","23.634501","-102.552784"
"Belgium","529606710418","10.21",2019,"32.18","Below Average","50.503887","4.469936"
"Australia","1392680589329","10.13",2019,"32.18","Below Average","-25.274398","133.775136"
"Saint Lucia","2122450630","9.75",2019,"32.18","Below Average","13.909444","-60.978893"
"Jamaica","16458071068","9.09",2019,"32.18","Below Average","18.109581","-77.297508"
"Mauritius","14180444557","8.94",2019,"32.18","Below Average","-20.348404","57.552152"
"Netherlands","909070395161","8.54",2019,"32.18","Below Average","52.132633","5.291266"
"Tuvalu","47271463","8.2",2019,"32.18","Below Average","-7.109535","177.64933"
"Jordan","43743661972","8.17",2019,"32.18","Below Average","30.585164","36.238414"
"Dominica","596033333","8.05",2019,"32.18","Below Average","15.414999","-61.370976"
"Belarus","63080457023","7.83",2019,"32.18","Below Average","53.709807","27.953389"
"Malta","14786156563","7.7",2019,"32.18","Below Average","35.937496","14.375416"
"Japan","5081769542380","7.69",2019,"32.18","Below Average","36.204824","138.252924"
"Ukraine","153781069118","7.44",2019,"32.18","Below Average","48.379433","31.16558"
"Equatorial Guinea","11026774945","6.58",2019,"32.18","Below Average","1.650801","10.267895"
